Channel,Energy (keV),CTS,CR,Net CR,Error
7504,2074.8317,42,0.233333333,0.233333333,0.036004115
7505,2075.1082,49,0.272222222,0.272222222,0.038888889
7506,2075.3847,42,0.233333333,0.233055556,0.036004651
7507,2075.6612,30,0.166666667,0.166666667,0.030429031
7508,2075.9377,33,0.183333333,0.183333333,0.031914237
7509,2076.2142,24,0.133333333,0.132777778,0.02721797
7510,2076.4907,34,0.188888889,0.18875,0.032394475
7511,2076.7672,34,0.188888889,0.188888889,0.032394177
7512,2077.0437,47,0.261111111,0.261111111,0.03808697
7513,2077.3202,37,0.205555556,0.205416667,0.033793411
7514,2077.5967,38,0.211111111,0.211111111,0.034246744
7515,2077.8732,41,0.227777778,0.227777778,0.035572912
7516,2078.1497,34,0.188888889,0.188888889,0.032394177
7517,2078.4262,30,0.166666667,0.166666667,0.030429031
7518,2078.7027,46,0.255555556,0.255277778,0.037680123
7519,2078.9792,36,0.2,0.199583333,0.033334201
7520,2079.2557,34,0.188888889,0.188888889,0.032394177
7521,2079.5322,47,0.261111111,0.260972222,0.038087223
7522,2079.8087,31,0.172222222,0.172083333,0.030932336
7523,2080.0852,44,0.244444444,0.244444444,0.036851387
7524,2080.3617,36,0.2,0.2,0.033333333
7525,2080.6382,30,0.166666667,0.166527778,0.030429348
7526,2080.9147,34,0.188888889,0.188611111,0.032394773
7527,2081.1912,35,0.194444444,0.194305556,0.032867403
7528,2081.4677,47,0.261111111,0.260833333,0.038087476
7529,2081.7442,37,0.205555556,0.205555556,0.033793125
7530,2082.0207,31,0.172222222,0.172083333,0.030932336
7531,2082.2972,36,0.2,0.2,0.033333333
7532,2082.5737,24,0.133333333,0.133055556,0.027217261
7533,2082.8502,34,0.188888889,0.188888889,0.032394177
7534,2083.1267,36,0.2,0.2,0.033333333
7535,2083.4032,37,0.205555556,0.205277778,0.033793696
7536,2083.6797,39,0.216666667,0.216666667,0.034694433
7537,2083.9562,29,0.161111111,0.161111111,0.029917582
7538,2084.2327,38,0.211111111,0.211111111,0.034246744
7539,2084.5092,31,0.172222222,0.171944444,0.030932648
7540,2084.7857,39,0.216666667,0.216666667,0.034694433
7541,2085.0622,46,0.255555556,0.255416667,0.037679867
7542,2085.3387,33,0.183333333,0.182916667,0.031915144
7543,2085.6152,27,0.15,0.15,0.028867513
7544,2085.8917,41,0.227777778,0.227638889,0.035573184
7545,2086.1682,36,0.2,0.199861111,0.033333623
7546,2086.4447,35,0.194444444,0.194166667,0.032867697
7547,2086.7212,35,0.194444444,0.194166667,0.032867697
7548,2086.9977,37,0.205555556,0.205416667,0.033793411
7549,2087.2742,42,0.233333333,0.233194444,0.036004383
7550,2087.5507,33,0.183333333,0.183333333,0.031914237
7551,2087.8272,33,0.183333333,0.183333333,0.031914237
7552,2088.1037,31,0.172222222,0.171944444,0.030932648
7553,2088.3802,39,0.216666667,0.216527778,0.034694711
7554,2088.6567,31,0.172222222,0.172222222,0.030932024
7555,2088.9332,35,0.194444444,0.194166667,0.032867697
7556,2089.2097,50,0.277777778,0.277777778,0.03928371
7557,2089.4862,45,0.25,0.249861111,0.037268058
7558,2089.7627,36,0.2,0.199861111,0.033333623
7559,2090.0392,30,0.166666667,0.166666667,0.030429031
7560,2090.3157,33,0.183333333,0.183333333,0.031914237
7561,2090.5922,42,0.233333333,0.233333333,0.036004115
7562,2090.8687,43,0.238888889,0.238888889,0.036430214
7563,2091.1452,40,0.222222222,0.222222222,0.035136418
7564,2091.4217,40,0.222222222,0.222083333,0.035136693
7565,2091.6982,46,0.255555556,0.255416667,0.037679867
7566,2091.9747,43,0.238888889,0.238472222,0.036431008
7567,2092.2512,30,0.166666667,0.166666667,0.030429031
7568,2092.5277,41,0.227777778,0.227638889,0.035573184
7569,2092.8042,37,0.205555556,0.205416667,0.033793411
7570,2093.0807,24,0.133333333,0.133194444,0.027216907
7571,2093.3572,38,0.211111111,0.210972222,0.034247026
7572,2093.6337,25,0.138888889,0.138611111,0.027778472
7573,2093.9102,31,0.172222222,0.172083333,0.030932336
7574,2094.1867,33,0.183333333,0.183194444,0.031914539
7575,2094.4632,54,0.3,0.299861111,0.040825065
7576,2094.7397,49,0.272222222,0.272083333,0.038889137
7577,2095.0162,26,0.144444444,0.144305556,0.028328227
7578,2095.2927,36,0.2,0.199861111,0.033333623
